Catalyst ID,Formula,Bulk Material ID,Element,Adsorbate Smiles,Adsorbate IUPAC Formula,Adsorption Energy,h,k,l,Surface Shift
random1821393,Cu₆₄C,mp-989782,Cu,*C,C1,1.006,1,0,0.0,0.0
random1473326,Ag₈₁N,mp-989737,Ag,*N,N1,3.045,1,0,2.0,0.056
random2442249,HAu₄₈C,mp-1008634,Au,*CH,C1 H1,0.634,2,2,1.0,0.0
random561264,Ni₆₄H₄CO,mp-10257,Ni,*OHCH3,C1 H4 O1,-1.807,1,0,0.0,0.0
random741394,Ni₆₄HNO₂,mp-10257,Ni,*ONOH,N1 H1 O2,3.72,2,0,1.0,0.0
random1026137,Ag₃₆H₃C₂O,mp-124,Ag,*COCH3,C2 H3 O1,-2.012,1,0,0.0,0.25
random1923848,H₃Pt₅₄C₂O,mp-126,Pt,*COCH3,C2 H3 O1,-2.921,1,1,1.0,0.167
random1216492,HAu₂₄C,mp-1008634,Au,*CH*CH,C2 H2,-1.186,1,1,1.0,0.0
random1580668,Cu₄₈H₃C₂O,mp-989782,Cu,*COCH3,C2 H3 O1,-2.449,1,1,0.0,0.25
random880217,Cu₇₂H₃C₂,mp-1120774,Cu,*CHCH2,C2 H3,-2.657,1,1,1.0,0.166
random1840504,Ag₃₀H₃C₂,mp-124,Ag,*CCH3,C2 H3,-0.746,2,2,1.0,0.05
random1777542,Ni₇₂CN,mp-1056486,Ni,*CN,C1 N1,-1.917,2,1,0.0,0.083
random2376304,Cu₆₄H₃C₂O,mp-989695,Cu,*CCH2OH,C2 H3 O1,-0.786,1,0,2.0,0.083
random787361,HAu₄₈C₂O,mp-1008634,Au,*CCHO,C2 H1 O1,0.661,2,2,1.0,0.0
random551170,Ni₃₆HO,mp-1014111,Ni,*OH,H1 O1,2.952,2,1,0.0,0.167
random681593,H₅Pt₇₂C₂O,mp-126,Pt,*OCH2CH3,C2 H5 O1,-3.373,2,1,0.0,0.083
random2139078,H(Au₁₈N)₂,mp-1008634,Au,*N*NH,N2 H1,1.938,2,0,1.0,0.0
random1309565,H₃Pt₃₆CO,mp-126,Pt,*OCH3,C1 H3 O1,-0.763,1,0,0.0,0.25
random2093313,Ag₉₆HCO,mp-124,Ag,*CHO,C1 H1 O1,0.613,2,1,1.0,0.063
random998165,Cu₈₀H₆C₂N₂O,mp-989782,Cu,*ONN(CH3)2,C2 N2 H6 O1,-2.411,2,-1,2.0,0.0
random1792495,Ni₃₂H₆C₂O,mp-1014111,Ni,*OHCH2CH3,C2 H6 O1,-4.069,1,0,0.0,0.0
random1651049,Ag₃₀H(CO)₂,mp-124,Ag,*COCHO,C2 H1 O2,0.061,2,2,1.0,0.05
random2062223,Cu₄₈H₂C₂O,mp-989782,Cu,*CHCHO,C2 H2 O1,-1.953,2,2,1.0,0.0
random1500198,Ni₃₆H₂C₂O,mp-1014111,Ni,CH2*CO,C2 H2 O1,-3.09,2,1,1.0,0.0
random1935527,Ni₃₂H₃N,mp-1014111,Ni,*NH3,N1 H3,-1.688,1,0,2.0,0.0
random1823852,Pt₆₀CN,mp-126,Pt,*CN,C1 N1,-0.849,2,2,1.0,0.05
random789402,Cu₃₂HC,mp-30,Cu,*CH*CH,C2 H2,-2.049,1,0,0.0,0.25
random1600956,Ni₂₄H₅(CO)₂,mp-1094136,Ni,*CHOHCH2OH,C2 H5 O2,-3.511,2,-1,2.0,0.25
random1835589,Cu₇₂NO₂,mp-989782,Cu,*NO2,N1 O2,3.102,2,1,1.0,0.0
random1525666,Ni₇₂HNO,mp-23,Ni,*ONH,N1 H1 O1,-0.61,2,1,0.0,0.083
random1626263,Ni₃₆H₂C₂O,mp-1094136,Ni,CH2*CO,C2 H2 O1,-3.815,2,1,1.0,0.0
random2389614,Cu₆₄H,mp-1010136,Cu,*H,H1,0.035,1,0,1.0,0.25
random514267,Cu₆₄H₄C,mp-989695,Cu,*CH4,C1 H4,-2.817,1,0,0.0,0.5
random1939658,Ni₇₂O,mp-1056486,Ni,*O,O1,-0.089,2,1,0.0,0.083
random519612,Cu₆₄H(CO)₂,mp-989695,Cu,*COCHO,C2 H1 O2,-0.428,1,0,1.0,0.208
random575857,Ni₃₂N,mp-1056486,Ni,*N2,N2,-0.452,1,0,0.0,0.25
random2245015,H₂Pt₇₂N,mp-126,Pt,*NH2,N1 H2,-1.068,1,1,0.0,0.125
random2109004,HAu₃₆CO,mp-1008634,Au,*CHO*CHO,C2 H2 O2,-0.457,2,1,0.0,0.0
random1277225,Ag₄₈HCO,mp-124,Ag,*CHO,C1 H1 O1,0.381,1,1,0.0,0.125
random1949133,Ni₃₂HCO,mp-10257,Ni,*COCH2O,C2 H2 O2,-1.468,1,0,0.0,0.0
random1443595,Cu₃₆HCO,mp-989695,Cu,*COCH2O,C2 H2 O2,-1.414,2,1,1.0,0.069
random1383873,HAu₄₈N,mp-81,Au,*NHNH,N2 H2,1.463,2,1,1.0,0.062
random1445195,Cu₃₂HC,mp-1010136,Cu,*CH*CH,C2 H2,-1.325,2,1,1.0,0.125
random1782714,Cu₇₂HC₂,mp-989782,Cu,*CCH,C2 H1,-0.941,2,1,0.0,0.167
random1756525,Ni₃₆N,mp-10257,Ni,*N2,N2,-0.595,2,1,0.0,0.0
random2193587,Ag₈₁HNO₂,mp-989737,Ag,*ONOH,N1 H1 O2,3.721,1,0,0.0,0.167
random1623119,H₂Au₃₀CO,mp-81,Au,*OCH2CHOH,C2 H4 O2,0.266,2,2,1.0,0.05
random1567323,H₂Au₃₆O,mp-1008634,Au,*OH2,H2 O1,-0.024,0,0,1.0,0.0
random1207138,Cu₆₄H(CO)₂,mp-30,Cu,*COCHO,C2 H1 O2,-0.397,1,0,0.0,0.25
random451705,H₃Au₉₆NO,mp-81,Au,*OHNH2,N1 H3 O1,1.575,2,1,1.0,0.062
random1710973,Ag₁₀₈HN₂O,mp-989737,Ag,*NONH,N2 H1 O1,2.445,1,1,1.0,0.083
random1891017,Cu₆₄CN,mp-989695,Cu,*CN,C1 N1,-0.614,1,0,0.0,0.167
random2198582,Ni₆₄H₄C₂O,mp-1094136,Ni,*OCHCH3,C2 H4 O1,-2.921,2,0,1.0,0.0
random1895837,Ni₅₄HNO,mp-1008728,Ni,*ONH,N1 H1 O1,2.696,1,0,0.0,0.25
random1138023,Cu₆₄C,mp-989782,Cu,*C,C1,1.337,1,0,1.0,0.0
random1563201,Au₇₂C,mp-1008634,Au,*C,C1,1.741,2,1,0.0,0.0
random1385320,Cu₇₂H₅C₂O,mp-1010136,Cu,*CH2CH2OH,C2 H5 O1,-2.401,2,0,1.0,0.083
random1374340,Ni₄₈N,mp-10257,Ni,*N2,N2,-0.655,1,0,2.0,0.0
random927705,Cu₆₄H,mp-989782,Cu,*H,H1,-0.085,0,0,1.0,0.0
random836984,Cu₉₆H₅C₂O,mp-30,Cu,*OCH2CH3,C2 H5 O1,-3.325,1,1,1.0,0.167
random1462053,HPt₆₀CO,mp-126,Pt,*CHO,C1 H1 O1,-1.82,2,2,1.0,0.05
random1813022,Ni₆₄HN,mp-1056486,Ni,*NH,N1 H1,-0.209,1,0,0.0,0.25
random2325688,Au₄₈N,mp-81,Au,*N,N1,2.833,1,1,0.0,0.125
random1241806,Cu₆₄C,mp-30,Cu,*C,C1,0.103,1,0,0.0,0.25
random1770819,Cu₉₆H₃(CO)₂,mp-1120774,Cu,*CHOCHOH,C2 H3 O2,-1.27,1,0,1.0,0.291
random1822140,Cu₉₆H₄C₂O,mp-30,Cu,*CHOHCH2,C2 H4 O1,-2.704,1,1,0.0,0.125
random1074606,Cu₆₄H₅C₂O,mp-989782,Cu,*CH2CH2OH,C2 H5 O1,-2.535,1,0,0.0,0.0
random1076072,Cu₉₆H₂C,mp-1120774,Cu,*CH2,C1 H2,-0.625,1,0,1.0,0.126
random1351005,Cu₅₄NO₂,mp-1120774,Cu,*NO2NO2,N2 O4,6.637,2,1,1.0,0.042
random1672599,H₂Pt₆₀C₂O,mp-126,Pt,*CH*COH,C2 H2 O1,1.165,2,2,1.0,0.05
random1253058,Ni₂₄HNO,mp-1094136,Ni,*ONH,N1 H1 O1,1.297,2,-1,2.0,0.0
random1294155,Ag₉₆H₄C₂O,mp-124,Ag,*OCHCH3,C2 H4 O1,-2.909,2,1,1.0,0.063
random2395790,Ni₂₄N₂O,mp-1094136,Ni,*N*NO,N2 O1,1.979,2,-1,2.0,0.25
random1725620,Cu₃₆C,mp-30,Cu,*C*C,C2,-0.925,2,1,0.0,0.083
random500757,Cu₉₆N₂O,mp-989695,Cu,*N*NO,N2 O1,2.964,2,2,1.0,0.031
random1710048,H₃Au₇₂NO,mp-1008634,Au,*OHNH2,N1 H3 O1,1.558,1,0,2.0,0.167
random1986083,H₃Au₆₀(CO)₂,mp-81,Au,*COCH2OH,C2 H3 O2,-1.4,2,2,1.0,0.05
random2193561,Cu₄₈H,mp-989782,Cu,*H,H1,0.09,2,2,1.0,0.0
random2252941,H₂Au₇₂N₂O,mp-1008634,Au,*ONNH2,N2 H2 O1,2.403,2,1,2.0,0.0
random1929934,Cu₃₆HCO,mp-989695,Cu,*COHCHO,C2 H2 O2,-0.694,2,1,2.0,0.028
random868299,Ni₆₄N₂O,mp-23,Ni,*N*NO,N2 O1,1.973,1,0,0.0,0.25
random444881,Ni₃₂N,mp-10257,Ni,*N2,N2,-0.143,2,0,1.0,0.75
random1407773,Ni₂₄HCO,mp-1094136,Ni,*COHCHO,C2 H2 O2,1.721,2,2,1.0,0.019
random1484312,H₂Au₉₆C,mp-81,Au,*CH2,C1 H2,-0.072,2,1,1.0,0.062
random872229,Cu₄₈H₂CO,mp-989782,Cu,*CHOHCHOH,C2 H4 O2,-1.781,1,0,2.0,0.0
random1213253,HPt₃₆C,mp-126,Pt,*CCH2,C2 H2,-3.001,2,1,0.0,0.083
random2359569,Ni₆₄HCO,mp-23,Ni,*CHO,C1 H1 O1,-1.461,1,0,0.0,0.25
random1682878,H₄Pt₆₀C₂O,mp-126,Pt,*CHCH2OH,C2 H4 O1,-2.812,2,2,1.0,0.05
random1504300,Cu₇₂HO,mp-989695,Cu,*OH,H1 O1,-0.125,2,1,2.0,0.028
random1734132,Ag₃₆H₅C₂O,mp-124,Ag,*CH2CH2OH,C2 H5 O1,-2.303,1,0,0.0,0.25
random2442303,Ni₄₈H₃(CO)₂,mp-1014111,Ni,*CHOCHOH,C2 H3 O2,-0.469,2,2,1.0,0.019
random989617,Ni₉₆H₂C,mp-10257,Ni,*CH2,C1 H2,-1.859,1,0,2.0,0.0
random2138855,Cu₁₀₈HC₂,mp-1120774,Cu,*CCH,C2 H1,2.261,2,1,1.0,0.167
random1918312,Cu₉₆H₃C₂O,mp-1120774,Cu,*CCH2OH,C2 H3 O1,-0.681,1,0,1.0,0.5
random1101019,Ni₁₆H₂CO,mp-1014111,Ni,*COHCH2OH,C2 H4 O2,-2.102,1,0,1.0,0.5
random75351,Cu₆₄H₃CO,mp-1010136,Cu,*OCH3,C1 H3 O1,-1.303,1,1,0.0,0.25
random2277754,HPt₇₂C₂O,mp-126,Pt,*CHCO,C2 H1 O1,-2.339,1,1,0.0,0.125
random2018730,Ni₄₈C,mp-10257,Ni,*C,C1,-1.327,2,2,1.0,0.0
random1851238,Cu₁₀₈H₄C,mp-1120774,Cu,*CH4,C1 H4,-2.82,2,1,2.0,0.001
random1466722,Cu₈₀HN,mp-1010136,Cu,*NH,N1 H1,0.218,2,1,2.0,0.05
random188248,Ag₅₄N,mp-989737,Ag,*N,N1,3.072,2,0,-1.0,0.25
random1369597,Cu₂₄C,mp-989695,Cu,*C*C,C2,-0.66,1,1,1.0,0.062
random1863268,Ni₇₂H₂N₂O,mp-10257,Ni,*ONNH2,N2 H2 O1,0.04,2,1,1.0,0.167
random2027532,Ni₆₄HN,mp-10257,Ni,*NH,N1 H1,-0.991,2,0,1.0,0.0
random1890086,Pt₃₆N,mp-126,Pt,*N2,N2,-0.013,1,1,0.0,0.125
random829405,Cu₃₂HCO,mp-1010136,Cu,*COHCOH,C2 H2 O2,-0.697,1,1,0.0,0.25
random1551668,Cu₉₆C₂O,mp-1120774,Cu,*CCO,C2 O1,-1.01,1,0,0.0,0.167
random569462,Cu₇₂H₃C₂O,mp-989782,Cu,*CCH2OH,C2 H3 O1,-1.167,2,1,0.0,0.167
random792200,Cu₇₂H₃NO,mp-1120774,Cu,*OHNH2,N1 H3 O1,1.074,2,-1,2.0,0.084
random1244492,Cu₉₆C,mp-1120774,Cu,*C,C1,3.291,0,0,1.0,0.5
random2331613,H₃Au₇₂CO,mp-1008634,Au,*OCH3,C1 H3 O1,-0.23,2,1,0.0,0.167
random1307420,Cu₃₂H₂CO,mp-989782,Cu,*COHCH2OH,C2 H4 O2,-1.395,1,0,0.0,0.5
random1449946,Ni₄₈C,mp-10257,Ni,*C,C1,-1.39,1,1,0.0,0.25
random1828685,Ag₈₁H₅C₂,mp-989737,Ag,*CH2CH3,C2 H5,-3.067,1,0,2.0,0.167
random1697134,Ni₆₄NO₃,mp-23,Ni,*NO3,N1 O3,4.928,1,0,0.0,0.25
random1321614,Ag₈₁HNO,mp-989737,Ag,*ONH,N1 H1 O1,3.353,1,0,-1.0,0.167
random1371083,HPt₆₀N,mp-126,Pt,*NH,N1 H1,0.156,2,2,1.0,0.083
random1802898,H₃Au₄₈C₂O,mp-1008634,Au,*CCH2OH,C2 H3 O1,-0.871,1,1,1.0,0.0
random458042,Cu₇₂HN,mp-989782,Cu,*NH,N1 H1,0.882,2,1,0.0,0.167
random1910260,H₂Pt₇₂CO,mp-126,Pt,*CHOH,C1 H2 O1,-2.93,2,1,0.0,0.083
random1790542,Ni₂₄H₄C,mp-1094136,Ni,*CH4,C1 H4,-2.826,2,-1,2.0,0.0
random2264980,Ni₁₂C,mp-1094136,Ni,*C*C,C2,-3.338,1,1,0.0,0.25
random1976011,Ni₇₂HC₂O,mp-23,Ni,*CHCO,C2 H1 O1,-2.422,2,1,0.0,0.083
random836396,Ni₄₈HC₂O,mp-10257,Ni,*CHCO,C2 H1 O1,-2.384,1,1,0.0,0.25
random445505,Cu₇₂N,mp-1120774,Cu,*N,N1,7.615,1,1,1.0,0.166
random789808,Ag₅₄H₃C₂,mp-989737,Ag,*CCH3,C2 H3,-0.244,2,0,-1.0,0.25
random1543746,Cu₆₄C,mp-1010136,Cu,*C,C1,1.338,2,1,1.0,0.125
random1880031,Cu₂₄H₄CN,mp-989782,Cu,*NH2N(CH3)2,C2 N2 H8,-3.872,2,2,1.0,0.0
random1796767,Ni₃₆HN,mp-23,Ni,*NHNH,N2 H2,-0.246,2,1,0.0,0.083
random1100422,Cu₇₂C₂O,mp-989782,Cu,*CCO,C2 O1,-1.344,2,1,2.0,0.167
random967273,H(Au₃₆C)₂,mp-1008634,Au,*CCH,C2 H1,-0.764,2,1,1.0,0.0
random578814,HAu₄₈CO,mp-81,Au,*CHO*CHO,C2 H2 O2,-0.443,2,1,1.0,0.062
random1578650,Ni₃₂H₄CN₂O,mp-1014111,Ni,*OHNNCH3,C1 N2 H4 O1,-2.845,1,0,2.0,0.0
random759846,Cu₉₆H₃NO,mp-1120774,Cu,*OHNH2,N1 H3 O1,1.595,1,0,1.0,0.126
random1879676,Ag₁₀₈H₃CO,mp-989737,Ag,*CH2OH,C1 H3 O1,-0.302,1,1,1.0,0.028
random518410,Cu₇₂H₃N,mp-989782,Cu,*NH3,N1 H3,-1.381,2,1,1.0,0.0
random1443971,Ag₈₁H₃(CO)₂,mp-989737,Ag,*CHOCHOH,C2 H3 O2,-0.937,1,0,0.0,0.167
random1473038,Ni₃₂HC,mp-10257,Ni,*CH*CH,C2 H2,-3.511,1,0,1.0,0.0
random467025,Ni₂₄HCO,mp-1094136,Ni,*CHO,C1 H1 O1,-2.073,2,-1,2.0,0.25
random1645921,Ni₄₈H₄C,mp-1014111,Ni,*CH4,C1 H4,-2.828,2,2,1.0,0.019
random1260818,Cu₈₀H₂C,mp-1010136,Cu,*CH2,C1 H2,-0.619,2,1,2.0,0.05
random445251,Ni₃₆O,mp-1014111,Ni,*O,O1,-0.165,2,1,2.0,0.0
random507342,Cu₆₄N,mp-989782,Cu,*N,N1,1.975,2,0,1.0,0.0
random1437047,Au₄₈C,mp-1008634,Au,*C,C1,2.168,1,1,0.0,0.25
random1776750,Ni₃₆HC₂O,mp-1014111,Ni,*CHCO,C2 H1 O1,-2.504,2,1,0.0,0.167
random839645,H₂Au₃₆N,mp-81,Au,*NH2,N1 H2,0.616,1,0,0.0,0.25
random826562,Ag₃₀H,mp-124,Ag,*H,H1,0.513,2,2,1.0,0.05
random1935746,Cu₆₄O,mp-1010136,Cu,*O,O1,1.196,2,1,1.0,0.125
random471459,HPt₆₀C₂O,mp-126,Pt,*CCHO,C2 H1 O1,-1.115,2,2,1.0,0.05
random1961884,Cu₇₂H₂C₂O,mp-1120774,Cu,CH2*CO,C2 H2 O1,-1.9,2,-1,2.0,0.084
random1767965,Ag₈₁H₆C₂N₂O,mp-989737,Ag,*ONN(CH3)2,C2 N2 H6 O1,-1.462,1,0,-1.0,0.167
random925150,Cu₁₀₈H₃CO,mp-1120774,Cu,*OCH3,C1 H3 O1,-1.518,2,1,0.0,0.056
random1874800,Cu₆₄H₃(CO)₂,mp-1010136,Cu,*COCH2OH,C2 H3 O2,-1.155,1,1,0.0,0.25
random1905720,Cu₆₄H₃C₂O,mp-1010136,Cu,*CHCHOH,C2 H3 O1,-2.255,2,1,1.0,0.125
random1782817,Ni₆₄H₂C₂O,mp-10257,Ni,*CCHOH,C2 H2 O1,-2.42,2,0,1.0,0.75
random1322630,Cu₇₂H₆C₂O,mp-1120774,Cu,*OHCH2CH3,C2 H6 O1,-3.887,2,-1,2.0,0.084
random478326,Cu₇₂H₂N₂O,mp-989782,Cu,*ONNH2,N2 H2 O1,1.679,2,1,1.0,0.0
random697224,Cu₆₄H₃N,mp-989782,Cu,*NH3,N1 H3,-1.297,1,0,0.0,0.0
random1616205,Cu₉₆H₄C₂O,mp-30,Cu,*OCHCH3,C2 H4 O1,-2.926,1,1,0.0,0.125
random944345,Au₃₆C,mp-1008634,Au,*C*C,C2,0.561,2,1,0.0,0.167
random1753153,Ni₄₈HO,mp-10257,Ni,*OH,H1 O1,-0.402,1,1,0.0,0.25
random1609303,Ni₂₄H₂C₂O,mp-1014111,Ni,*CCHOH,C2 H2 O1,-2.903,1,1,1.0,0.0
random1583842,Ni₃₆H₂CO,mp-1014111,Ni,*CHOH,C1 H2 O1,-0.863,2,1,0.0,0.167
random1946463,Cu₉₆H₂N₂O,mp-1120774,Cu,*ONNH2,N2 H2 O1,2.459,1,0,0.0,0.167
random1723684,Ni₇₂HN,mp-23,Ni,*NH,N1 H1,-1.008,2,1,0.0,0.083
random682364,HAu₃₆CO,mp-1008634,Au,*COH,C1 H1 O1,0.705,0,0,1.0,0.0
random929249,H₄Au₃₆CO,mp-1008634,Au,*OHCH3,C1 H4 O1,-1.578,2,0,1.0,0.0
random626057,Ni₆₄C₂O,mp-1008728,Ni,*CCO,C2 O1,-2.546,1,1,0.0,0.25
random2361063,Cu₇₂HC,mp-989782,Cu,*CH,C1 H1,-0.069,2,1,0.0,0.0
random1491746,Cu₉₆H₂O,mp-989782,Cu,*OH2,H2 O1,-0.1,1,0,2.0,0.0
random701397,Cu₆₄H₂C₂O,mp-989695,Cu,*CCHOH,C2 H2 O1,-1.007,1,0,2.0,0.083
random2379486,H₃Au₆₀C,mp-81,Au,*CH3,C1 H3,-1.33,2,2,1.0,0.05
random1679915,Ni₃₆N,mp-10257,Ni,*N2,N2,0.088,2,1,1.0,0.0
random422562,Au₄₈O,mp-1008634,Au,*O,O1,2.651,1,1,0.0,0.25
random1718725,Cu₆₄H₃C₂O,mp-989695,Cu,*COCH3,C2 H3 O1,-2.582,1,0,1.0,0.458
random1944288,Cu₉₆H₃NO,mp-1120774,Cu,*OHNH2,N1 H3 O1,1.401,1,0,1.0,1.0
random2498808,HPt₇₂,mp-126,Pt,*H,H1,-0.449,1,1,0.0,0.125
random2203633,Ni₄₈HC₂,mp-10257,Ni,*CCH,C2 H1,-2.785,2,2,1.0,0.0
random563958,Cu₄₈N,mp-989782,Cu,*N2,N2,-0.019,1,0,2.0,0.0
random273435,Cu₅₄O,mp-1010136,Cu,*O,O1,0.693,0,0,1.0,0.25
random1330449,Ni₆₄H₅C₂O,mp-23,Ni,*CHOHCH3,C2 H5 O1,-3.274,1,0,0.0,0.25
random2132865,Cu₆₄H₅C₂O,mp-989782,Cu,*OCH2CH3,C2 H5 O1,-3.3,0,0,1.0,0.0
random986514,Cu₇₂H₂CO,mp-989782,Cu,*CH2*O,C1 H2 O1,-0.64,2,1,1.0,0.0
random934562,Cu₄₈HO,mp-989695,Cu,*OH,H1 O1,-0.086,1,1,1.0,0.062
random2265756,Cu₆₄H₃CO,mp-989695,Cu,*OCH3,C1 H3 O1,-1.123,1,0,0.0,0.5
random1950080,Cu₇₂H₃C₂,mp-989695,Cu,*CCH3,C2 H3,-2.069,2,1,2.0,0.028
random1787069,Ag₇₂HN,mp-989737,Ag,*NH,N1 H1,1.503,1,1,0.0,0.25
random898074,Ag₁₀₈H₃C₂O,mp-989737,Ag,*CHCHOH,C2 H3 O1,-1.35,1,1,1.0,0.083
random491478,Au₇₂NO₃,mp-1008634,Au,*NO3,N1 O3,5.95,1,0,2.0,0.167
random2202541,Cu₇₂HC,mp-989695,Cu,*CH,C1 H1,-0.179,2,1,1.0,0.069
random708308,Cu₇₂HN₂,mp-1010136,Cu,*N*NH,N2 H1,1.517,1,0,2.0,0.083
random1738405,Ni₄₈HNO,mp-10257,Ni,*ONH,N1 H1 O1,1.338,1,1,0.0,0.25
random1619119,Cu₉₆C₂O,mp-1120774,Cu,*CCO,C2 O1,-1.497,1,0,1.0,0.291
random1503067,Ni₇₂H₂O,mp-10257,Ni,*OH2,H2 O1,-0.455,2,1,0.0,0.167
random2229742,Ag₂₇H₂CO,mp-989737,Ag,*OCH2CHOH,C2 H4 O2,-0.451,2,1,-2.0,0.074
random1271304,Ni₂₄H,mp-1014111,Ni,*H,H1,-0.393,2,-1,2.0,0.25
random2291923,H₃Pt₇₂(CO)₂,mp-126,Pt,*CHOCHOH,C2 H3 O2,0.078,2,1,0.0,0.083
random2221468,Ni₃₆HN₂O,mp-1014111,Ni,*NONH,N2 H1 O1,4.061,2,1,0.0,0.167
random1057700,Ni₆₄C,mp-10257,Ni,*C,C1,-0.916,1,0,1.0,0.0
random1382605,H₅Au₄₈C₂O,mp-1008634,Au,*CH2CH2OH,C2 H5 O1,-2.58,1,0,1.0,0.0
random1666920,Cu₇₂H₃CO,mp-989782,Cu,*CH2OH,C1 H3 O1,-0.621,2,1,0.0,0.167
random2028511,Cu₈₀H₃C₂O,mp-989782,Cu,*COCH3,C2 H3 O1,-2.576,2,-1,2.0,0.0
random2072727,Ni₆₄H₂C₂O,mp-1014111,Ni,*CHCHO,C2 H2 O1,-1.62,2,0,1.0,0.5
random2383301,Ni₂₄HC,mp-10257,Ni,*CH*CH,C2 H2,-3.268,1,1,1.0,0.0
random1259438,Cu₃₆N,mp-1120774,Cu,*N2,N2,-0.091,2,-1,2.0,0.0
random1388086,Cu₉₆H₄C₂O,mp-30,Cu,*OCHCH3,C2 H4 O1,-2.908,1,1,0.0,0.125
random2101926,Cu₇₂H₃C₂O,mp-989695,Cu,*CHCHOH,C2 H3 O1,-2.274,2,1,0.0,0.167
random500368,Cu₃₆HCO,mp-1120774,Cu,*COHCHO,C2 H2 O2,-1.414,2,-1,2.0,0.084
random1173132,Cu₆₄H₂C₂O,mp-989695,Cu,*CH*COH,C2 H2 O1,0.964,1,0,1.0,0.458
random440594,Au₄₈N₂O,mp-1008634,Au,*N*NO,N2 O1,2.684,1,0,1.0,0.0
random2203468,Ni₅₄HC,mp-1008728,Ni,*CH,C1 H1,-0.893,1,0,0.0,0.25
